EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
333145457,MERIDIAN RESEARCH LABS INC,% CHARLES TEAGUE,24 SCHOOL STREET 2ND FLOOR,BOSTON,MA,02108-5140,0000,03,3,1000,202503,1,15,000000000,1,01,,0,0,01,0,12,,,,T99,
333146391,INTERNATIONAL MENTAL HELP INC,,867 BOYLSTON STREET UNIT 2253,BOSTON,MA,02116-2774,0000,03,3,1000,202507,1,15,000000000,1,01,,0,0,01,0,12,,,,F30,
333149792,CAPE COD SWARM,,11 DESIRES LN,W BARNSTABLE,MA,02668-1366,0000,03,3,1000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,N02,
333149836,RESTORED CHURCH,% WILBUR SMART,295 MINOT ST,BOSTON,MA,02124-5119,0000,03,3,7000,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,X20,
333150796,FIREFLY YOUTH COMMUNITY SERVICE,,73 WOBURN ST,ANDOVER,MA,01810-6016,0000,03,3,1000,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,O51,
333157128,JEWELRY CITY DISC GOLF INC,,211 PINE ST APT 6,ATTLEBORO,MA,02703-4163,0000,03,3,1000,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,N32,
333158081,LAUREN ALESSANDRO MEMORIAL FOUNDATION,,7 WOODBRIER RD,WEST ROXBURY,MA,02132-4024,0000,03,3,1000,202509,1,16,000000000,5,01,,0,0,02,0,12,,,,W01,
333159927,WORCESTER COUNTY BENGALI ASSOCIATION INC,% ANUPAMA DEB ROY,96 CHERRY ST,SHREWSBURY,MA,01545-4003,0000,03,3,1230,202504,1,16,000000000,1,01,202509,2,3,01,0,09,23489,51243,51243,A23,
333161103,BOSTON BROTHERS,% CHARLES U AHIWE,85 PRESTON ST,MARLBOROUGH,MA,01752-2126,0000,03,3,1000,202506,1,16,000000000,1,01,,0,0,02,0,08,,,,N03,
333173724,JAZZ URBANE COMMUNITY ART AND TRANSFORMATION INC,% KRYSTAL BANFIELD,2300 WASHINGTON ST LOWR LEVEL,ROXBURY,MA,02119-3213,0000,03,3,1000,202511,1,15,000000000,1,01,,0,0,01,0,12,,,,A25,
333185188,GWK ACADEMY FAMILY BUILDING INC,% BRIAN ROSENBERG,112 BRACKETT RD,NEWTON,MA,02458-2614,0000,03,3,1200,202509,1,15,000000000,1,01,,0,0,01,0,12,,,,P40,
333187384,IGLESIA CRISTIANA GOSEN,% EMILIO SAEZ,12 1ST ST APT 107,SALEM,MA,01970-1850,0000,03,3,1700,202507,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
333189011,JAKEEBRES,% MINDY BUTTS,10 ORRION DRIVE,RANDOLPH,MA,02368-0000,0000,03,3,2000,202502,1,16,000000000,5,01,202412,0,0,02,0,12,0,0,0,P20,
333189470,ALL KIDS & FAMILIES THRIVE INC,,42 PRENTISS ST,CAMBRIDGE,MA,02140-2241,0000,03,3,1000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,S99,
333189818,FOUNDATION FOR NEUROGASTROENTEROLOGY HEALTH INC,,429 BOSTON POST ROAD APT B202,WAYLAND,MA,01778-0000,0000,03,3,1280,202507,1,15,000000000,1,01,,0,0,01,0,12,,,,U50,
333192079,COHASSET COMMUNITY ASSISTANCE FUND INC,,20 LOCUST RD,COHASSET,MA,02025-1941,0000,03,3,1000,202503,1,15,000000000,1,01,202508,0,0,02,0,08,0,0,0,P20,
333193328,MASS HEALING INC,,112 PETERSON PATH,MARSHFIELD,MA,02050-4123,0000,03,3,2000,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,R01,
333193960,SMITH VOCATIONAL & AGRICULTURAL ALUMNI ASSOCIATION,% ALUMNI ASSOCIATION,80 LOCUST ST,NORTHAMPTON,MA,01060-2052,0000,03,3,1200,202502,1,15,000000000,5,01,,0,0,02,0,12,,,,B84,
333194440,MATH SPROUTS INC,,208 NEPONSET VALLEY PARKWAY,HYDE PARK,MA,02136-2490,0000,03,3,1200,202502,1,16,000000000,1,01,,0,0,02,0,01,,,,B21,
333195715,FAMILIES HELPING FAMILIES INC,,38 BOWDOIN ST APT 2,DORCHESTER,MA,02124-1051,0000,03,3,1250,202507,1,15,000000000,1,01,,0,0,02,0,12,,,,P99,
333197645,THRIVING KIDS ACADEMY INC,% GUOLIANG ZHONG,209 W CENTRAL ST STE 126,NATICK,MA,01760-3798,0000,03,3,1000,202506,1,16,000000000,1,01,,0,0,01,0,01,,,,O50,
333198165,HOPE IN BUNDLES INC,,177 W BARE HILL RD,HARVARD,MA,01451-1627,0000,03,3,1000,202504,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P20,
333208069,HUMAN CENTERED AGILITY FOUNDATION INC,% BRITTANY SMITH,144 WILLIAM STREET,JAMAICA PLAIN,MA,02130-3865,0000,03,3,1300,202506,1,15,000000000,1,01,,0,0,02,0,12,,,,B99,HUMAN CENTERED AGILITY
333217783,LUSU INC,,82 WENDELL AVE STE 100,PITTSFIELD,MA,01201-7066,0000,03,3,1200,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,T50,
333218949,CHORD INC,,106 LACONIA ST,LEXINGTON,MA,02420-2230,0000,03,3,2700,202511,1,15,000000000,1,01,,0,0,13,0,12,,,,X20,
333219306,MERRIMACK VALLEY TEEN DRIVER EDUCATION ASSOCIATION CORPORATION,,68 HARRISON AVE STE 605 PMB 887992,BOSTON,MA,02111-1929,0000,03,3,2000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,B90,
333227871,PROJECT NEI INC,,245 FIRST STREET 1800 IOTASK,CAMBRIDGE,MA,02142-1200,0000,03,3,1000,202502,1,15,000000000,1,01,,0,0,01,0,12,,,,B30,
333239811,NEW-ENGLAND CHRISTIAN FELLOWSHIP,% THANG SIAN PIANG,14 BESSO ST,FRANKLIN,MA,02038-2802,0000,03,3,7000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,X20,
333253977,NARCAN NOW BOSTON INC,% JACK CONSTANTINE,60 VERNON RD,SCITUATE,MA,02066-3623,0000,03,3,1268,202505,1,16,000000000,1,01,,0,0,02,0,01,,,,E70,
333259134,POLAR BEAR PRESERVATION LEAGUE INC,% ALEXANDER LENTONI,160 FEDERAL STREET 20TH FLOOR,BOSTON,MA,02110-1700,0000,03,3,1248,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,D30,
333264735,FAN S NOLI LIBRARY AND CULTURAL CENTER INC,% PAVLI PERMETI,475 PLEASANT ST,MILTON,MA,02186-4834,0000,03,3,1230,202507,1,04,000000000,1,01,,0,0,00,1,12,,,,A23,
333264958,BOSTON COALITION FOR AUTISM,% MAURICIO PEREA,1450 CONCORD ST,FRAMINGHAM,MA,01701-7745,0000,03,3,1000,202512,1,15,000000000,1,01,,0,0,01,0,12,,,,G84,
333267332,WESTERN MASS BASEBALL CLUB INC,% KEVIN FARRELL,5 SHERWIN RD,WILBRAHAM,MA,01095-2456,0000,03,3,1200,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,N63,JR SOX
333268677,AWAKEN CAPE COD INC,% JANET RYDER,43 CONSTANT LN,COTUIT,MA,02635-2612,0000,03,3,7000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,X20,
333291461,PATRICK MCBRIDE STEVENS MEMORIAL INC,,663 E 6TH ST,BOSTON,MA,02127-3131,0000,03,3,1000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,O12,
333297741,RAICES CYBER ORGANIZATION INC,,93 WOLLASTON AVE,ARLINGTON,MA,02476-7163,0000,03,3,2000,202502,1,16,000000000,1,01,,0,0,02,0,01,,,,B90,
333307610,COMMONWEALTH RECOVERY CLINIC-INC,% TEKUM FOMUM PENTOCOSTER,5 DOVER ST STE 301,NEW BEDFORD,MA,02740-6258,0000,03,3,1200,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,F30,
333314220,INTERNATIONAL INNOVATION HUB OF BOSTON INC,% DIMITRIOS IOANNIDIS,22 BROAD STREET SUITE 1002,BOSTON,MA,02109-0000,0000,03,3,2380,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,A03,
333314675,PALISADES BEAUTIFUL,,7 MAXWELLS GRN APT 313,SOMERVILLE,MA,02144-2692,0000,03,3,1000,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,C50,
333315653,BOUNDLESS WKIM,,32 BERKSHIRE ST,INDIAN ORCH,MA,01151-1404,0000,03,3,7000,202505,1,15,000000000,1,01,,0,0,02,0,12,,,,V23,KIMBERLY QUINONEZ SOLE MBR
333324660,MOVEMENT ALCHEMY INC,,38 VACATION LN,WEST YARMOUTH,MA,02673-3413,0000,03,3,1000,202503,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,S12,PILATES WITH PURPOSE
333330066,INSPIRATION 100X35 INC,% EDWIN COLON,265 CHELMSFORD ST STE 7 PMB 1055,CHELMSFORD,MA,01824-2335,0000,03,3,1000,202512,1,15,000000000,1,01,,0,0,02,0,12,,,,P20,
333340766,EYES 4 THE FUTURE INC,,9 ALBERT ST,CANTON,MA,02021-2400,0000,03,3,1000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,G41,
333346785,GUMMYBEARS ROBOTICS,% XUN ZHANG,16 CHANDLER RD,WESTFORD,MA,01886-6300,0000,03,3,2000,202502,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,B90,
333352061,NANTUCKET FIELDHOUSE INC,% JESSE A BELL,5 S MILL ST,NANTUCKET,MA,02554-3396,0000,03,3,1000,202505,1,15,000000000,1,01,,0,0,01,0,12,,,,N11,THE FIELDHOUSE
333352560,NUR IMPACT FUND,,101 KING ST,BOSTON,MA,02122-2440,0000,03,3,2000,202502,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,S30,NUR IMPACT
333353434,PROJECT HCP INC,,68 HARRISON AVE 605459389,BOSTON,MA,02111-1929,0000,03,3,1000,202502,1,16,000000000,1,01,202501,0,0,02,0,01,0,0,0,A12,HCP PROJECT
333355971,ATHERTON HOUGH PTA,% NICOLE OHARE,1084 SEA ST,QUINCY,MA,02169-3521,0000,03,3,1200,202512,1,16,000000000,1,01,,0,0,02,0,06,,,,B94,
333357673,VERAS CHOCOLATE WISHES,,6 OLDE TAVERNE LN,AMESBURY,MA,01913-2118,0000,03,3,1000,202503,1,15,000000000,1,01,,0,0,02,0,12,,,,A99,CHOCOLATE TOUR
333378473,BOSTON FOOTBALL CLUB REDBRICKS CORP,% JIN KWANG KIM,68 PROSPECT ST UNIT 12,PEABODY,MA,01960-1775,0000,03,3,1200,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,N99,
333383194,ORGANISATION RACINE NAGO D HAITI INC,,19 REXFORD ST,BOSTON,MA,02126-2115,0000,03,3,1000,202502,1,16,000000000,1,01,,0,0,02,0,08,,,,A23,ORANAH
333387738,WAKEFIELD ROTARY CLUB FOUNDATION INC,,MAHONEY FIORENTINO CO 607 N AVE 1,WAKEFIELD,MA,01880-0000,0000,03,3,1200,202502,1,16,000000000,1,01,202506,1,1,02,0,06,1030,1030,1030,P03,
333387764,WEMA FOUNDATION INC,% JONATHAN ROTENBERG,5 CHAUNCY LN,CAMBRIDGE,MA,02138-2401,0000,03,3,1200,202505,1,15,000000000,1,01,,0,0,02,0,12,,,,Q70,
333388207,MINDBOOST,% GARY BRACEY,493 MANLEY ST,W BRIDGEWATER,MA,02379-1041,0000,03,3,1200,202504,1,15,000000000,1,01,,0,0,02,0,12,,,,B28,
333394325,AUTOIMMUNE NEUROLOGY RESEARCH CONSORTIUM INC,% ALEXANDER GILL,8 SYCAMORE ST UNIT D,SOMERVILLE,MA,02143-1258,0000,03,3,1280,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,G96,
333397319,OCEANIC FREEDOM SOCIETY INC,,50 STEARNS ST,CAMBRIDGE,MA,02138-6727,0000,03,3,2400,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,D20,
333405932,KIDS WITH NEEDS INC,,35 BARNARD RD,BELMONT,MA,02478-4406,0000,03,3,1000,202502,1,16,000000000,1,01,,0,0,02,0,12,,,,B28,
333423046,BRIDGE OF FAITH MINISTRY INTERNATIONAL,,234 MASHAPAUG RD,HOLLAND,MA,01521-2520,0000,03,3,7000,202508,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
333423274,SULEYMAN D CELIMLI FOUNDATION,,17 WILDEWOOD DR,LYNNFIELD,MA,01940-1344,0000,03,3,1000,202503,1,04,000000000,2,01,,0,0,00,1,12,,,,T20,
333423446,MAGGIE MARTIN FOUNDATION,% PETER MARTIN,4 ESSEX CENTER DR UNIT 3943,PEABODY,MA,01961-0054,0000,03,3,1000,202509,1,16,000000000,1,01,,0,0,02,0,12,,,,T12,
333423469,EDUCATION DATA UNLIMITED,% STEVE SMITH,PO BOX 156,MALDEN,MA,02148-0002,0000,03,3,2000,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,B01,
333427613,NOLAN BARR MEMORIAL FOUNDATION,,10 TRICIA LN,MASHPEE,MA,02649-2374,0000,03,3,1200,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,B90,
333429063,OAKDALE PARENT TEACHER ORGANIZATION INC,% OAKDALE SCHOOL,147 CEDAR ST,DEDHAM,MA,02026-3303,0000,03,3,1200,202502,1,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,B94,
333436347,FREETOWN LAKEVILLE SEPAC INC,,98 HOWLAND RD,LAKEVILLE,MA,02347-2230,0000,03,3,1000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,P99,
333441989,ANTHROPOLOGICAL ODYSSEY FOUNDATION,% CRANEBRIDGE INVESTMENT PARTNERS,501 BOYLSTON STREET,BOSTON,MA,02116-3769,0000,03,3,1200,202508,1,04,000000000,1,01,,0,0,00,1,12,,,,B80,
333448269,BREHD LLC,,117 KENDRICK ST STE 300,NEEDHAM,MA,02494-2722,0000,03,3,1000,202506,1,16,000000000,1,01,,0,0,02,0,01,,,,T50,BRIEHANNA WILDE SOLE MBR
333452825,HARE KRISHNA PEOPLE,,352R SOMERVILLE AVE,SOMERVILLE,MA,02143-2918,0000,03,3,7000,202507,1,10,000000000,1,01,,0,0,06,0,12,,,,X70,
333456923,F4 & SEE IT FOUNDATION INC,,187 WASHINGTON ST,PEMBROKE,MA,02359-1848,0000,03,3,1200,202502,1,15,000000000,1,01,,0,0,02,0,12,,,,A32,
333458042,ASIAN CULINARY ENTREPRENEURSHIP SOCIETY INC,,193 PEARL AVE 1,REVERE,MA,02151-4253,0000,03,3,1000,202505,1,16,000000000,1,01,,0,0,02,0,12,,,,K98,
333465767,NORTH SHORE GAA,% JAMES HORGAN,123 FOSTER RD,SWAMPSCOTT,MA,01907-1063,0000,03,3,1000,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,N60,
333466809,RHM ATHLETICS INC,,85 THERESE MARIE LN,W SPRINGFIELD,MA,01089-4483,0000,03,3,1000,202503,1,15,000000000,1,01,,0,0,02,0,12,,,,N60,
333468910,WARRIOR FAMILY BOOKS FOR NICU,,151 UNION ST # 1,FRANKLIN,MA,02038-2030,0000,03,3,1000,202503,1,15,000000000,5,01,,0,0,02,0,02,,,,A12,
333469625,FRIENDS OF SWANSEA VFD INC,% RICHARD ALBERNAZ,137 MAIN ST,SWANSEA,MA,02777-4619,0000,03,3,1000,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,M24,
333473419,YAD ROD INC,,18 ABINGTON AVE,BROCKTON,MA,02302-2624,0000,03,3,1000,202508,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,A23,
333474182,UNIVERSITY OF MASSACHUSETTS,% CARA ODELL,735 LUMBERT MILL RD,MARSTONS MLS,MA,02648-1227,5929,03,9,5000,201307,1,15,000000000,5,01,,0,0,01,0,06,,,,O52,FARM FRIENDS 4-H
333475460,EXPLORERS EDUCATION CORPORATION,,8 KALLANDER DR,SOUTHBOROUGH,MA,01772-1665,0000,03,3,1200,202503,1,16,000000000,1,01,202507,0,0,02,0,07,0,0,0,B82,
333479094,LIVABLESTREETS INSTITUTE,% JEFFREY L ROSENBLUM,161 RAYMOND ST APT 3,CAMBRIDGE,MA,02140-3450,0000,03,3,1000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,S05,
333479605,FUENTE DE VIDA EN NANTUCKET INC,,9 PERRY LN,NANTUCKET,MA,02554-4387,0000,03,3,1700,202509,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
333482262,VETERANS NEXT STEP FOUNDATION INC,% STEVEN LITTLEFIELD,428 PLYMOUTH ST STE B,HALIFAX,MA,02338-1443,0000,03,3,1000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,W30,
333482875,IGLESIA SENDA DE RENOVACION Y RESTAURACION,% CASA DE ADORACION Y RESTAURACION,788 PARKER ST,SPRINGFIELD,MA,01129-1036,0000,03,3,7000,202503,1,15,000000000,1,01,,0,0,02,0,12,,,,X20,CASA DE ADORACION Y RESTAURACION
333488378,ARIZEN GLOBAL FOUNDATION INC,% STEVEN BBUYE,511 POTTER RD,FRAMINGHAM,MA,01701-3204,0000,03,3,1270,202503,1,16,000000000,5,01,202412,0,0,02,0,12,0,0,0,X20,
333493557,HIMALAYAN DIVERSITY INSTITUTE,,33 FAIRBANKS RD,LEXINGTON,MA,02421-7728,0000,03,3,1200,202508,1,15,000000000,1,01,,0,0,01,0,12,,,,Q33,
333495678,ALL THINGS H E R,% AURELIA ASHLEY GRACE MBOYO,42 ALBERT ST,BROCKTON,MA,02302-1863,0000,03,3,1000,202503,1,16,000000000,5,01,,0,0,02,0,12,,,,C12,
333497790,MUSCLES UNLIMITED LEGACY FOUNDATION INC,,82 WENDELL,PITTSFIELD,MA,01201-7066,0000,03,3,1200,202503,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,O50,
333507702,ALTERNATIVE OF THE PESTEL DIASPORA,% ALVANCE CANGAS,38 HUDSON ST,LOWELL,MA,01852-3507,0000,03,3,1000,202502,1,04,000000000,1,01,,0,0,00,1,12,,,,W24,ADP
333509951,MEMORIAL CHAPEL AT GREAT BARRINGTON INC,% MARC SERRA,13 WALLIS ST,DOUGLAS,MA,01516-2233,0000,03,3,1000,202503,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,K34,
333512326,FESTIVAL SALVADORENO DE MASSACHUSETTS INC,% JUAN C GONZALEZ,20 LOMBARD STREET 2ND FL,LOWELL,MA,01854-3324,0000,03,3,1200,202505,1,16,000000000,1,01,,0,0,02,0,12,,,,A20,
333517013,ZSCUBE HELPERS,% ZSCUBE HELPERS,82 INDIAN RIDGE TER,WESTFORD,MA,01886-1255,0000,03,3,2800,202503,1,15,000000000,1,01,,0,0,02,0,12,,,,P02,
333519519,VENTURA DAMON YOUTH FOUNDATION INC,,100 JORDAN ST,BROCKTON,MA,02302-1232,0000,03,3,1200,202503,1,16,000000000,1,01,,0,0,02,0,06,,,,N99,
333521853,FRIENDS OF EAST BOSTON HIGH SCHOOL INC,% EAST BOSTON HIGH SCHOOL,86 WHITE ST,BOSTON,MA,02128-1302,0000,03,3,2000,202512,1,15,000000000,1,01,,0,0,01,0,06,,,,B11,
333523552,THALIA THEATER TROUPE INC,% ANN DANBY,PO BOX 692774,QUINCY,MA,02269-2774,0000,03,3,2000,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,A65,
333525957,MINISTERIO NUEVO COMIENZO,% JAVIER LUCIANO,134 MAIN ST,MILFORD,MA,01757-2629,0000,03,3,7000,202508,1,15,000000000,1,01,,0,0,02,0,12,,,,X20,
333526106,NEW IMMIGRANT MULTI-SERVICE CENTER,% GODWIN NNANNA,1486 HYDE PARK AVE,BOSTON,MA,02136-2626,0000,03,3,1000,202503,1,15,000000000,1,01,,0,0,02,0,03,,,,A70,
333533658,PSI CHI THE NATIONAL HONOR SOCIETY IN PSYCHOLOGY,% MARIANNE FALLON,100 INSTITUTE RD,WORCESTER,MA,01609-2247,1400,03,9,2000,195712,1,16,059036000,5,01,202506,0,0,02,0,06,0,0,0,,WORCESTER POLYTECHNIC INST PC CHAPT
333547500,NDIOWU NORTH AMERICA INC,,22 MARION ST,RANDOLPH,MA,02368-2437,0000,03,3,1000,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,A23,
333549376,AGAWAM COYOTES INC,% TIMOTHY MCLEAN,80 COLUMBIA DR,FEEDING HILLS,MA,01030-1620,0000,03,3,1000,202506,1,16,000000000,1,01,,0,0,02,0,12,,,,N63,
333550166,NEW ENGLAND METALSMITHING GUILD INC,% JOHNNA C BYINGTON,15 VALLEY RD,WOBURN,MA,01801-4018,0000,03,3,2000,202512,1,16,000000000,1,01,,0,0,02,0,12,,,,A25,
333556565,RACHETEZ LE TEMPS,% LESLY MICHELOT,1046 BLUE HILL AVE,MILTON,MA,02186-2330,0000,03,3,7000,202507,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
333558026,SAGAMORE HILL,,225 WOODBURY ST,S HAMILTON,MA,01982-2311,0000,03,3,1200,202504,1,15,000000000,1,01,,0,0,02,0,12,,,,P20,
333560929,NEURODIVERSE HACKERS INC,,68 HARRISON AVE STE 605 PMB 707698,BOSTON,MA,02111-1929,0000,03,3,2000,202508,1,15,000000000,1,01,,0,0,02,0,12,,,,B90,
333568441,YURA FUND,% OLGA TERECHIN,243 CUTLER RD,S HAMILTON,MA,01982-1017,0000,03,3,1000,202504,1,15,000000000,1,01,,0,0,02,0,11,,,,F12,
333575553,VICTORY FAMILY INTERNATIONAL CHURCHES INC,% SAMUEL KASOZI,161 NORTH ST,NEWTON,MA,02460-1043,0000,03,3,1270,202508,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
333576934,NEW ENGLAND PUBLIC THEATRE,% JON MAEL,41 AMES ST,SHARON,MA,02067-2020,0000,03,3,1000,202503,1,16,000000000,1,01,,0,0,02,0,02,,,,A65,
333587500,SOCIAL WORK ROOM,% MARISELA MILIAN,757 GALLIVAN BLVD STE 1,DORCHESTER,MA,02122-3190,0000,03,3,1000,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,F03,
333590879,DOROTHY M BARON FOUNDATION,% CYNTHIA M CLARKE,4 BATTERY WHARF,BOSTON,MA,02109-1099,0000,03,3,1000,202507,1,04,000000000,2,01,,0,0,00,1,12,,,,T99,
333592264,SMA & DMD SUPPORT NETWORK,% KANAN MAHMUDOV,30 HIGH ST APT 204,DEDHAM,MA,02026-2813,0000,03,3,1000,202504,1,15,000000000,1,01,,0,0,02,0,12,,,,E12,
333593536,REEDS BEADS & BEYOND,% CAITLIN REED,11 HENDRICK ST APT 2,CHICOPEE,MA,01020-2585,0000,03,3,1200,202511,1,15,000000000,1,01,,0,0,02,0,12,,,,P80,
333601333,SHIRLEY JAMES FOUNDATION FOR CHILDREN AND FAMILIES,,588 BOSTON POST ROAD SUITE 304,WESTON,MA,02493-1535,0000,03,3,1250,202505,1,04,000000000,1,01,,0,0,00,1,12,,,,T20,
333601903,ADRIAN KIMBOROWICZ FOUNDATION INC,,37 SUTHERLAND ST,LOWELL,MA,01850-1228,0000,03,3,1000,202504,1,15,000000000,1,01,,0,0,02,0,12,,,,O12,
333611014,FRIENDS OF DANTE ALIGHIERI MONTESSORI SCHOOL INC,,37 GOVE ST,BOSTON,MA,02128-1947,0000,03,3,2000,202504,1,15,000000000,1,01,,0,0,02,0,06,,,,B11,
333613183,JUST BREATHE CREATIVE INC,,54 CORAL ST APT 3,FALL RIVER,MA,02721-6212,0000,03,3,1270,202504,1,15,000000000,1,01,,0,0,02,0,12,,,,P99,
333625191,FRIENDS OF MASSACHUSETTS SPEECH LANGUAGE HEARING ASSOCIATION INC,% LINDA KING,60 HICKORY DRIVE SUITE 6100,WALTHAM,MA,02451-1013,0000,03,3,1280,202506,1,16,000000000,5,01,202512,0,0,02,0,12,0,0,0,B12,
333627838,JOEY DESCHENES MEMORIAL FOUNDATION INC,% JEFF WEIR,15 JACKSON LN,MILLBURY,MA,01527-3313,0000,03,3,1000,202601,1,15,000000000,1,01,,0,0,02,0,12,,,,T12,
333640025,CALLIE VEELENTURF FOR NATURE FOUNDATION,,87 UNION ST,NORFOLK,MA,02056-1729,0000,03,3,2800,202510,1,15,000000000,1,01,,0,0,01,0,12,,,,Q31,
333642756,MINDFUL MUSICIANS,% LIYUAN JI,14 MAYNARD ST,ARLINGTON,MA,02474-2304,0000,03,3,1280,202503,1,15,000000000,5,01,,0,0,02,0,02,,,,A60,
333648543,HEART FOR CARE,% XIAOJING LI,50 MARGARET RD,NEWTON HLDS,MA,02461-1633,0000,03,3,1000,202510,1,15,000000000,1,01,,0,0,02,0,01,,,,P20,
333649013,FRIENDS OF BGCGL INC,,657 MIDDLESEX ST,LOWELL,MA,01851-1410,0000,03,3,1000,202508,1,21,000000000,1,01,,0,0,01,0,12,,,,O11,
333649790,MITRO MANDAL INC,% DEV RANA,20 GENEST AVE,LOWELL,MA,01854-2605,0000,03,3,1270,202503,1,16,000000000,1,01,,0,0,02,0,12,,,,A23,
333653042,FRIENDS OF LYNNFIELD THEATER INC,% JEANINE LYNDS,55 PARSONS AVE,LYNNFIELD,MA,01940-1821,0000,03,3,1200,202503,1,16,000000000,1,01,,0,0,02,0,07,,,,B94,
333659832,UNRAVEL HEALTHCARE ALLIANCE INC,,27 HANLON RD,HOLLISTON,MA,01746-1465,0000,03,3,1200,202511,1,15,000000000,1,01,,0,0,01,0,12,,,,E62,
333666918,SUM UPS INC,,7 LEBEL RD,DANVERS,MA,01923-1399,0000,03,3,1570,202504,1,15,000000000,1,01,202501,0,0,02,0,01,0,0,0,P62,
333669461,HAMPSHIRE YOUNG PEOPLES CHORUS INC,% KATHLEEN CONLAN,PO BOX 2342,AMHERST,MA,01004-2342,0000,03,3,1200,202504,1,16,000000000,1,01,202508,0,0,02,0,08,0,0,0,A6B,
333670910,CLINTON TRIBUTE COMMUNITY FOUNDATION,,8 BUFTON FARM RD,CLINTON,MA,01510-3129,0000,03,3,1200,202506,1,15,000000000,1,01,,0,0,02,0,12,,,,B82,
333679804,BAD ALLIES ADOPTIVE SNOW SPORTS FOUNDATION,% LAWRENCE MODESTOW,11 KENSINGTON AVE,NORTHAMPTON,MA,01060-2905,0000,03,3,1200,202503,1,15,000000000,1,01,,0,0,02,0,09,,,,N68,
333681013,LEGACY LANTERN FOUNDATION INC,,867 BOYLSTON STREET,BOSTON,MA,02116-2774,0000,03,3,1200,202504,1,16,000000000,1,01,,0,0,02,0,12,,,,B80,
333682202,ARTSPARK PRESENTS CORPORATION,% AVA DUDANI,197 GREEN ST UNIT 305,JAMAICA PLAIN,MA,02130-5333,0000,03,3,1000,202505,1,16,000000000,1,01,,0,0,02,0,12,,,,A20,
333688102,CONCORD CARLISLE CHINESE CLUB INC,% YVETTE FANG,223 LAWS BROOK RD APT 305,CONCORD,MA,01742-2081,0000,03,3,2000,202503,1,16,000000000,1,01,,0,0,02,0,06,,,,A23,
333688336,KASHEW LAKAY,% SHEENA PIERRE,225 SCHOOL ST,STOUGHTON,MA,02072-2820,0000,03,3,8000,202503,1,16,000000000,1,01,,0,0,02,0,06,,,,K30,
333696976,ASSOCIATION FOR COMPUTING MACHINERY,,440 HUNTINGTON AVE,BOSTON,MA,02115-5002,1931,03,9,2800,196805,0,16,205279000,1,01,,0,0,01,0,06,,,,U030,GREATER BOSTON ACM SIGCHI CHAPTER
